"Variable";"Stats";"Para";"m0";"m1";"m2"
"Intercept";"mean";"Full";"1.423";"0.826";"-2.859"
"Intercept";"sd";"Full";"(0.12)";"(0.055)";"(0.337)"
"HP";"mean";"Full";"0.12";"-0.056";
"HP";"sd";"Full";"(0.027)";"(0.01)";
"T2E_ZS";"mean";"Full";"-0.14";"-0.038";
"T2E_ZS";"sd";"Full";"(0.02)";"(0.011)";
"RVPI-1";"mean";"Full";"0.943";;"-0.947"
"RVPI-1";"sd";"Full";"(0.163)";;"(0.519)"
"PEM-1";"mean";"Full";"1.361";"0.461";"1.332"
"PEM-1";"sd";"Full";"(0.172)";"(0.093)";"(0.387)"
"HYS";"mean";"Full";"-5.254";"-2.797";"-9.77"
"HYS";"sd";"Full";"(1.682)";"(0.769)";"(5.901)"
"Shape";"mean";"Full";;"1.858";
"Shape";"sd";"Full";;"(0.08)";
"AIC";"mean";"Full";"1505.588";"2117.512";"1505.588"
"AIC";"sd";"Full";"(29.4)";"(28.801)";"(29.4)"
"Intercept";"mean";"IO";"1.116";"0.531";"-2.994"
"Intercept";"sd";"IO";"(0.019)";"(0.019)";"(0.103)"
"Shape";"mean";"IO";;"1.789";
"Shape";"sd";"IO";;"(0.077)";
"AIC";"mean";"IO";"1592.392";"2142.211";"1592.392"
"AIC";"sd";"IO";"(25.694)";"(27.268)";"(25.694)"
