"","independent","t.copula","bottom.left","bottom.right","top.left","top.right"
"mean",1.693,1.84,1.851,1.952,1.795,1.578
"sd",1.116,1.497,1.25,1.473,1.434,0.874
"Pr(x<=0)",0,0,0,0,0,0
"min",0.322,0.67,0.616,0.524,0.322,0.605
"5%",0.629,0.748,0.765,0.773,0.557,0.67
"10%",0.828,0.787,0.913,0.863,0.743,0.794
"25%",1.074,1.003,1.072,1.115,0.923,1.078
"50%",1.477,1.392,1.446,1.566,1.354,1.38
"75%",2.185,1.82,2.189,2.008,2.121,1.843
"90%",2.704,3.485,2.759,2.978,3.349,2.914
"95%",2.832,5.034,3.946,4.69,4.54,3.495
"max",7.906,7.43,8.136,8.05,7.401,4.475
"n",50,50,50,50,50,50
"NAs",0,0,0,0,0,0
"Infs",0,0,0,0,0,0
